id|parent|text
709|7|La localización de las estaciones y subestaciones de distribución de energía
710|7|El pronóstico del clima para mi comunidad en tiempo real
711|7|La ubicación de todas las gasolineras del país
712|7|Los lugares donde se observa el estado del tiempo en una comunidad
801|8|Las clínicas y hospitales mejor evaluados de mi comunidad
802|8|Los costos promedio de los tratamientos de diversas enfermedades en México
803|8|Los precios máximos y mínimos de los medicamentos en México
804|8|La ubicación de los hospitales y qué especialidades tratan
805|8|Los beneficiarios del sistema de salud
806|8|Dónde están las clínicas y qué especialidades tratan
807|8|Las enfermedades más comunes en México por localidad
808|8|Los riesgos para la salud que afectan a mi comunidad
809|8|Los casos que van surgiendo de una enfermedad en un tiempo y región determinado
810|8|Datos a detalle de las epidemias en México por municipio
811|8|Cuántas personas mueren cada día en México y dónde
812|8|Los servicios de ambulancia que hay disponibles en mi comunidad
813|8|En dónde están las clínicas dentales autorizadas y qué especialidades tratan
814|8|Los comercios que tienen autorización de vender alcohol en mi comunidad.
901|9|La información que contiene el registro público de la propiedad.
902|9|Cuáles son y dónde se ubican las áreas protegidas en México
903|9|La información puedo consultar sobre el campo en México.
904|9|Las fronteras geográficas y políticas en México.
905|9|Los datos sobre reconstrucción ante las afectaciones causadas por Desastres Naturales.
906|9|Toda la información sobre los bosques en México.
907|9|Datos a detalle sobre desastres naturales.
908|9|Datos sobre los ríos y lagos en México.
909|9|La información sobre las granjas agrícolas que existen en México.
910|9|Los códigos postales.
